Farmer_ID,Age,Gender,Region,Education_Level,Farm_Size_HA,Crop_Type,Years_of_Experience,Previous_Loan,Mobile_Money_Use,Market_Access,Average_Annual_Yield_Tons,Income_per_Year_NGN,Repayment_History_Score,Credit_Score,Risk_Tier
F0001,24,Male,West,None,3.64,Rice,8,No,No,Poor,7.59,1259325,0.87,70,Medium
F0002,21,Female,West,Secondary,2.91,Rice,1,No,Yes,Good,8.66,828419,0.64,72,Medium
F0003,22,Male,East,Secondary,1.89,Maize,9,No,Yes,Average,7.04,1929057,0.76,65,Medium
F0004,24,Male,North,Secondary,4.16,Cassava,6,No,No,Good,8.29,1548207,0.16,40,High
F0005,20,Female,West,Tertiary,3.58,Cassava,3,No,Yes,Average,7.9,425019,0.46,60,Medium
F0006,25,Male,West,Tertiary,1.23,Vegetables,8,No,Yes,Average,2.35,1675153,0.01,21,High
F0007,22,Female,South,Secondary,4.6,Cassava,9,Yes,Yes,Good,4.82,797218,0.25,63,Medium
F0008,22,Female,West,Secondary,4.2,Maize,6,No,Yes,Average,2.38,1917992,0.73,74,Medium
F0009,24,Female,West,Tertiary,4.77,Rice,7,Yes,Yes,Good,3.12,1539100,0.99,113,
F0010,19,Male,South,Primary,3.77,Cassava,1,No,Yes,Good,8.82,1017052,0.1,44,High
F0011,20,Male,East,Secondary,3.26,Vegetables,5,Yes,Yes,Good,5.26,1505129,0.4,65,Medium
F0012,24,Male,West,None,2.38,Cassava,5,No,Yes,Good,5.82,1697108,0.8,79,Low
F0013,20,Male,South,None,4.7,Maize,4,Yes,No,Good,2.61,919401,0.2,50,Medium
F0014,20,Male,North,Tertiary,4.4,Vegetables,6,No,Yes,Average,3.81,1628080,0.56,70,Medium
F0015,25,Male,East,Tertiary,0.7,Cassava,7,No,Yes,Average,3.07,1301928,0.73,62,Medium
F0016,22,Male,North,Secondary,0.62,Vegetables,9,No,Yes,Average,2.86,624127,0.62,50,Medium
F0017,21,Female,North,Secondary,2.19,Maize,1,Yes,Yes,Good,6.74,1412432,0.19,47,High
F0018,25,Male,South,Primary,4.15,Rice,6,No,No,Average,3.31,203191,0.36,42,High
F0019,25,Female,West,Primary,4.94,Maize,7,No,Yes,Good,6.69,828864,0.78,91,Low
F0020,20,Male,South,Primary,1.18,Maize,3,Yes,Yes,Good,1.53,1444289,0.55,63,Medium
F0021,23,Male,South,Secondary,3.17,Maize,8,Yes,No,Poor,2.28,642939,0.01,21,High
F0022,22,Male,South,Tertiary,2.21,Maize,5,No,No,Good,3.47,1252207,0.76,71,Medium
F0023,19,Female,South,Secondary,4.86,Rice,9,No,Yes,Average,6.37,1385820,0.04,36,High
F0024,25,Female,East,Primary,4.29,Rice,5,No,No,Average,7.08,504224,0.75,66,Medium
F0025,21,Female,West,Tertiary,4.27,Vegetables,9,No,No,Good,4.98,420169,0.2,48,High
F0026,23,Female,North,Tertiary,2.61,Cassava,4,Yes,Yes,Good,5.01,814641,0.96,100,Low
F0027,23,Male,North,Secondary,2.37,Rice,9,Yes,No,Good,7.52,1662073,0.37,49,High
F0028,19,Female,West,Secondary,1.73,Rice,5,Yes,No,Poor,1.14,752959,0.33,33,High
F0029,25,Male,North,Secondary,0.75,Cassava,9,No,Yes,Good,4.07,1895675,0.15,32,High
F0030,21,Male,West,Primary,4.39,Rice,3,Yes,Yes,Good,8.37,1955367,0.31,65,Medium
F0031,22,Female,North,Secondary,4.16,Maize,4,Yes,Yes,Good,6.43,421972,0.88,98,Low
F0032,18,Female,South,Tertiary,5.0,Maize,9,Yes,No,Average,4.04,1638454,1.0,95,Low
F0033,21,Female,North,None,4.98,Cassava,6,No,No,Good,9.15,948321,0.37,57,Medium
F0034,19,Female,West,Primary,3.0,Vegetables,2,No,Yes,Good,7.95,708679,0.45,62,Medium
F0035,23,Female,West,None,3.96,Vegetables,7,No,Yes,Average,3.38,621818,0.72,73,Medium
F0036,22,Female,West,None,4.75,Cassava,2,No,Yes,Poor,6.81,1992725,0.89,87,Low
F0037,21,Female,West,Tertiary,4.32,Cassava,2,No,Yes,Good,6.36,1927408,0.59,82,Low
F0038,18,Female,West,Tertiary,1.61,Maize,1,Yes,Yes,Good,4.61,904590,0.39,61,Medium
F0039,18,Male,East,Secondary,2.53,Vegetables,3,No,Yes,Good,4.3,1191120,0.41,57,Medium
F0040,20,Female,East,None,1.08,Rice,6,No,No,Average,4.09,1255675,0.7,47,High
F0041,20,Female,North,Secondary,4.79,Maize,8,No,Yes,Good,6.55,1667223,0.0,43,High
F0042,24,Male,West,Secondary,3.23,Cassava,9,No,No,Average,4.98,780780,0.62,53,Medium
F0043,19,Female,North,Primary,1.53,Vegetables,7,No,Yes,Average,8.49,1345298,0.36,39,High
F0044,25,Male,West,Secondary,3.52,Rice,4,No,Yes,Average,7.03,1165188,0.79,75,Low
F0045,21,Male,West,Secondary,3.28,Rice,6,No,Yes,Good,1.63,754399,0.09,41,High
F0046,21,Female,East,Secondary,2.11,Maize,5,No,Yes,Poor,6.76,263936,0.59,55,Medium
F0047,25,Male,East,Secondary,1.01,Vegetables,8,No,No,Average,3.44,1926550,0.48,33,High
F0048,24,Male,South,None,3.52,Vegetables,1,No,Yes,Average,6.34,423332,0.64,66,Medium
F0049,23,Male,East,Secondary,2.84,Cassava,1,Yes,No,Good,7.12,925836,0.06,32,High
F0050,23,Male,South,Secondary,3.98,Vegetables,6,No,Yes,Poor,3.08,1571640,0.58,64,Medium
F0051,24,Female,South,Secondary,2.84,Vegetables,2,Yes,No,Good,5.11,687510,0.56,62,Medium
F0052,23,Male,South,Tertiary,4.33,Maize,5,No,Yes,Good,2.71,263530,0.56,80,Low
F0053,20,Female,South,Secondary,2.98,Vegetables,1,No,No,Good,1.47,1678016,0.6,60,Medium
F0054,21,Male,South,Primary,3.02,Rice,7,No,No,Average,4.41,1518508,0.68,55,Medium
F0055,24,Male,North,None,4.44,Maize,1,No,Yes,Good,4.27,1800946,0.8,90,Low
F0056,21,Male,East,Secondary,2.32,Maize,4,Yes,Yes,Good,9.96,1862434,0.27,52,Medium
F0057,25,Male,South,None,1.1,Cassava,9,Yes,No,Good,5.02,1873879,0.83,70,Medium
F0058,18,Female,West,Secondary,0.63,Vegetables,1,No,No,Good,4.0,1980752,0.5,43,High
F0059,20,Female,East,Tertiary,3.9,Cassava,4,Yes,Yes,Average,6.22,1396179,0.08,44,High
F0060,22,Male,East,Secondary,3.29,Rice,6,Yes,No,Average,1.8,1074772,0.06,25,High
F0061,20,Male,South,Secondary,3.67,Maize,6,No,No,Good,9.65,1867303,0.33,48,High
F0062,24,Female,North,Secondary,1.46,Maize,8,No,No,Good,6.71,1162361,0.78,64,Medium
F0063,22,Male,South,Secondary,1.11,Maize,1,No,No,Average,7.79,341214,0.71,48,High
F0064,18,Male,North,Secondary,0.57,Rice,7,Yes,No,Good,2.53,839341,0.79,65,Medium
F0065,24,Male,West,Tertiary,2.08,Rice,1,No,Yes,Good,4.69,1821219,0.52,66,Medium
F0066,19,Female,East,Secondary,3.15,Cassava,7,No,Yes,Poor,4.8,603082,0.44,52,Medium
F0067,21,Female,West,Tertiary,2.27,Cassava,3,No,Yes,Average,8.4,401139,0.15,35,High
F0068,18,Female,North,Tertiary,2.47,Cassava,8,No,No,Good,1.01,1228494,0.33,47,High
F0069,21,Male,North,Primary,4.57,Vegetables,3,Yes,No,Average,3.71,1221318,0.43,53,Medium
F0070,23,Male,West,None,2.07,Maize,1,No,Yes,Good,9.83,849714,0.09,35,High
F0071,19,Female,North,Primary,2.81,Maize,8,No,No,Average,5.27,788315,0.22,27,High
